vintage_name|wine_name|year|region|bodega|varietal_name|grape_varieties|price|acidity|intensity|sweetness|tannin|wine_ratings_count|wine_ratings_average|red/white
Bodegas Cosme Palacio Cosme Palacio Reserva Viñedos Viejos 2015|Cosme Palacio Reserva Viñedos Viejos|2015|Rioja|Bodegas Cosme Palacio|Tinto de Rioja|Tempranillo, Graciano, Garnacha|26.5|3.5702229|3.649378|1.5487418|3.7969053|1653|4.1|white
Castillo Perelada Finca La Garriga 2018|Finca La Garriga|2018|Empordà|Castillo Perelada|Tinto|Grenache., Tempranillo|18.35|3.135451|3.9069724|1.6625357|3.0295222|2328|3.9|white
Thunder Wine Makers Violetes de Fang 2018|Violetes de Fang|2018|Montsant|Thunder Wine Makers|Tinto de Montsant|Shiraz/Syrah, Cabernet Sauvignon, Cariñena, Garnacha|28.1|2.9608335|3.9179688|2.135729|3.6697915|120|4.1|white
Legaris Páramos 2019|Páramos|2019|Ribera del Duero|Legaris|Tinto de Ribera del Duero|Tempranillo|23.3|3.531976|3.9632826|1.7906938|3.4758909|1012|4.0|white
Alfredo Arribas Gotes del Priorat 2021|Gotes del Priorat|2021|Priorato|Alfredo Arribas|Tinto de Priorat|Shiraz/Syrah, Cabernet Sauvignon, Grenache., Carignan|15.25|3.4741764|4.5266066|1.622952|3.3263028|3931|3.8|white
Murua VS Murua 2020|VS Murua|2020|Rioja|Murua|Tinto de Rioja|Tempranillo, Graciano, Garnacha|14.4|3.69048|3.9091382|1.7041427|3.6712067|2450|4.0|white
Bodegas Cosme Palacio El Secreto Ribera del Duero 2020|El Secreto Ribera del Duero|2020|Ribera del Duero|Bodegas Cosme Palacio|Tinto de Ribera del Duero|Tempranillo|24.0|3.3743818|3.5916557|2.1147215|3.3697774|2329|4.0|white
Alta Alella Merla 2021|Merla|2021|Alella|Alta Alella|Monastrell|Monastrell|18.9|3.4103434|3.656603|1.8400382|3.3529465|1012|3.9|white
Casa Gran del Siurana La Fredat Garnatxa Priorat 2018|La Fredat Garnatxa Priorat|2018|Priorato|Casa Gran del Siurana|Tinto de Priorat|Shiraz/Syrah, Cabernet Sauvignon, Grenache., Carignan|23.65|3.3364668|4.256224|1.9323021|3.3049335|744|4.1|white
De Muller Legítim Crianza 2020|Legítim Crianza|2020|Priorato|De Muller|Tinto de Priorat|Shiraz/Syrah, Cabernet Sauvignon, Grenache., Carignan|10.28|3.4353995|4.5729957|1.876894|3.3206239|5221|4.0|white
