vintage_name|wine_name|year|region|bodega|varietal_name|grape_varieties|price|acidity|intensity|sweetness|tannin|wine_ratings_count|wine_ratings_average|red/white
Nanclares y Prieto Nanclares Albariño 2022|Nanclares Albariño|2022|Rías Baixas|Nanclares y Prieto|Albariño|Albariño|28.75|3.8076134|1.8284185|1.5623509||833|4.0|w
Lagar de Cervera Albariño 2022|Albariño|2022|Rías Baixas|Lagar de Cervera|Albariño|Albariño|15.06|3.6592875|1.6508856|1.5381356||12872|3.9|w
Vinícola Real Cueva del Monge Blanco 2018|Cueva del Monge Blanco|2018|Rioja|Vinícola Real|Rioja White|Viura|20.6|3.0359473|4.084938|2.0108695||767|4.0|w
Vegalfaro Pago de los Balagueses Chardonnay 2022|Pago de los Balagueses Chardonnay|2022|Utiel-Requena|Vegalfaro|Chardonnay|Chardonnay|22.0|3.151277|3.0961142|1.3695109||692|4.0|w
Cérvoles Blanc 2019|Blanc|2019|Costers del Segre|Cérvoles|White|Macabeo, Chardonnay|26.9|3.0|3.0|1.0||680|4.0|w
Cérvoles Blanc 2021|Blanc|2021|Costers del Segre|Cérvoles|White|Macabeo, Chardonnay|26.07|3.0|3.0|1.0||680|4.0|w
Bodega de Bardos Rueda Verdejo 2021|Rueda Verdejo|2021|Rueda|Bodega de Bardos|Verdejo|Verdejo|15.1|3.410706|2.4145687|2.216609||4607|4.0|w
Cérvoles Blanc 2022|Blanc|2022|Costers del Segre|Cérvoles|White|Macabeo, Chardonnay|25.65|3.0|3.0|1.0||680|4.0|w
Pazo San Mauro Albariño 2022|Albariño|2022|Rías Baixas|Pazo San Mauro|Albariño|Albariño|17.95|3.734682|1.8196948|1.6283473||10583|3.9|w
Forjas del Salnés Cos Pés Vinos Atlánticos 2022|Cos Pés Vinos Atlánticos|2022|Galicia|Forjas del Salnés|Albariño|Albariño|22.51|3.5167863|1.7086768|1.691049||651|4.0|w
Olivardots Blanc de Gresa 2022|Blanc de Gresa|2022|Empordà|Olivardots|White|Garnacha Blanca, Garnacha Rosada/Gris, Cariñena Blanca|18.98|3.2648704|3.440829|1.6299483||641|4.0|w
Ossian Quintaluna 2020|Quintaluna|2020|Castilla y León|Ossian|Verdejo|Verdejo|14.56|3.2920673|2.4892826|2.1935153||6149|3.8|w
Quinta de Couselo Turonia Albariño 2019|Turonia Albariño|2019|Rías Baixas|Quinta de Couselo|Albariño|Albariño|24.15|3.7228668|1.8168067|1.507979||4123|4.0|w
Rioja Vega Colección Tempranillos Tempranillo Blanco 2023|Colección Tempranillos Tempranillo Blanco|2023|Rioja|Rioja Vega|Rioja White|Viura|14.95|3.2195146|4.3897223|1.977435||592|4.0|w
Can Matons Pansa Blanca 2023|Pansa Blanca|2023|Alella|Can Matons|White|Pansa Blanca|13.95|2.8906627|2.8694577|1.4204217||577|4.0|w
Habla Habla de Ti Sauvignon Blanc 2020|Habla de Ti Sauvignon Blanc|2020|Extremadura|Habla|Sauvignon Blanc|Sauvignon Blanc|22.5|3.927457|2.9823647|1.347814||5520|3.9|w
Pazos de Lusco Lusco Albariño 2022|Lusco Albariño|2022|Rías Baixas|Pazos de Lusco|Albariño|Albariño|16.27|3.6056423|1.9060656|1.6491205||4743|3.9|w
Luis Cañas Vinas Viejas Blanco 2020|Vinas Viejas Blanco|2020|Rioja Alavesa|Luis Cañas|Rioja White|Viura|18.95|3.3550403|4.035696|1.7330897||2048|4.0|w
Quinta de Couselo Turonia Albariño 2021|Turonia Albariño|2021|Rías Baixas|Quinta de Couselo|Albariño|Albariño|25.24|3.7228668|1.8168067|1.507979||4123|4.0|w
Bouza do Rei Albariño Rías Baixas 2022|Albariño Rías Baixas|2022|Rías Baixas|Bouza do Rei|Albariño|Albariño|10.95|3.775907|2.0164058|1.591053||7656|3.9|w
La Perdida O Pando 2022|O Pando|2022|Valdeorras|La Perdida|Godello|Godello|18.9|4.0|3.0|1.0||532|4.0|w
Clos de Lôm Malvasía 2022|Malvasía|2022|Valencia|Clos de Lôm|White|Malvasía|12.15|3.5524666|2.988067|1.7634001||530|4.0|w
Luis Cañas Vinas Viejas Blanco 2021|Vinas Viejas Blanco|2021|Rioja Alavesa|Luis Cañas|Rioja White|Viura|12.45|3.3550403|4.035696|1.7330897||2048|4.0|w
Itsasmendi Artizar 2023|Artizar|2023|Bierzo|Itsasmendi|White|Hondarrabi Zuri, Hondarrabi Zuri Zerratie, Lore Makala (Riesling)|10.5|3.310606|3.3175757|1.1163636||521|4.0|w
Bodegas Félix Lorenzo Cachazo Carrasviñas Fermentado en Barrica 2023|Carrasviñas Fermentado en Barrica|2023|Rueda|Bodegas Félix Lorenzo Cachazo|Verdejo|Verdejo|8.9|3.1826527|2.7159922|2.5264673||520|4.0|w
Casa Rojo La Marimorena Albariño 2021|La Marimorena Albariño|2021|Rías Baixas|Casa Rojo|Albariño|Albariño|18.06|3.6443202|1.6278871|1.4745215||6441|3.9|w
Oxer Wines Marko Gure Arbasoak 2018|Marko Gure Arbasoak|2018|Bizkaiko Txakolina|Oxer Wines|Txakoli|Petit Manseng, Petit Courbu, Folle Blanche, Hondarrabi Zuri, Gros Manseng, Hondarrabi Beltza|18.9|3.5450191|3.0539923|1.62327||2648|4.0|w
Bodegas Mas Alta Artigas Blanco 2021|Artigas Blanco|2021|Priorat|Bodegas Mas Alta|White|Macabeo, Pedro Ximénez|24.9|3.3438652|4.370966|1.5598876||502|4.0|w
Bodegas Mas Alta Artigas Blanco 2020|Artigas Blanco|2020|Priorat|Bodegas Mas Alta|White|Macabeo, Pedro Ximénez|25.95|3.3438652|4.370966|1.5598876||502|4.0|w
Cota 45 UBE de Ubérrima Paganilla 2023|UBE de Ubérrima Paganilla|2023|Vino de España|Cota 45|White|Palomino|23.4|3.4698374|3.078699|1.0820324||496|4.0|w
Muscàndia Deliri Floral 2023|Deliri Floral|2023|Penedès|Muscàndia|White|Muscat, Sauvignon Blanc|9.95|3.300917|2.8341668|1.5498333||488|4.0|w
Península Vinicultores Vino Atlántico 2022|Vino Atlántico|2022|Bizkaiko Txakolina|Península Vinicultores|Txakoli|Petit Manseng, Petit Courbu, Folle Blanche, Hondarrabi Zuri, Gros Manseng, Hondarrabi Beltza|17.5|5.0|3.0|1.1419356||486|4.0|w
Bodegas La Rodetta AC 2023|AC|2023|Rioja|Bodegas La Rodetta|Rioja White|Viura|6.65|3.04722|4.3956017|3.070415||478|4.0|w
Santiago Roma Selección Albariño 2022|Selección Albariño|2022|Rías Baixas|Santiago Roma|Albariño|Albariño|19.95|3.5355394|1.94121|1.4880426||475|4.0|w
Anima Mundi Gres 2023|Gres|2023|Penedès|Anima Mundi|White|Xarel-lo|12.3|3.242445|3.0612044|1.1751094||470|4.0|w
Mar de Frades Godello 2022|Godello|2022|Rías Baixas|Mar de Frades|Godello|Godello|20.17|3.718082|2.8043835|1.6895891||469|4.0|w
Bodegas Martín Códax Anxo Martín Treixadura - Albariño - Godello 2022|Anxo Martín Treixadura - Albariño - Godello|2022|Rías Baixas|Bodegas Martín Códax|White|Treixadura, Albariño, Godello|12.5|3.047|2.131519|2.2209115||468|4.0|w
Parés Baltà Xarel-lo Amphora Roja 2022|Xarel-lo Amphora Roja|2022|Penedès|Parés Baltà|White|Xarel-lo|24.79|3.1452336|3.5499997|1.5||458|4.0|w
Oxer Wines Marko Gure Arbasoak 2020|Marko Gure Arbasoak|2020|Bizkaiko Txakolina|Oxer Wines|Txakoli|Petit Manseng, Petit Courbu, Folle Blanche, Hondarrabi Zuri, Gros Manseng, Hondarrabi Beltza|19.7|3.5450191|3.0539923|1.62327||2648|4.0|w
Menade Nosso Verdejo 2019|Nosso Verdejo|2019|Castilla y León|Menade|Verdejo|Verdejo|11.8|3.199502|2.4976325|2.3789618||3971|3.9|w
Pazo San Mauro Sanamaro Sobre Lias 2021|Sanamaro Sobre Lias|2021|Rías Baixas|Pazo San Mauro|White|Albariño, Loureiro|35.27|3.0|3.0|1.0||433|4.0|w
Manuel Formigo Teira X 2022|Teira X|2022|Ribeiro|Manuel Formigo|White|Albariño, Albillo Mayor, Loureira, Treixadura|19.5|3.9263933|2.63459|1.0665573||429|4.0|w
Ysios Blanco 2022|Blanco|2022|Rioja|Ysios|Rioja White|Viura|37.8|3.4357102|4.111036|1.6582841||427|4.0|w
Bodega Ribas Sió Blanc 2023|Sió Blanc|2023|Mallorca|Bodega Ribas|White|Giró Ros, Viognier|24.5|2.8279998|3.6620002|1.162||427|4.0|w
Bodegas Cosme Palacio Cosme Palacio 1894 Blanco 2019|Cosme Palacio 1894 Blanco|2019|Rioja|Bodegas Cosme Palacio|Rioja White|Viura|49.5|3.3488805|4.0438223|1.8598841||408|4.0|w
Bodegas Cosme Palacio Cosme Palacio 1894 Blanco 2014|Cosme Palacio 1894 Blanco|2014|Rioja|Bodegas Cosme Palacio|Rioja White|Viura|45.0|3.3488805|4.0438223|1.8598841||408|4.0|w
Tayaimgut Sauvignon Blanc 2018|Sauvignon Blanc|2018|Penedès|Tayaimgut|Sauvignon Blanc|Sauvignon Blanc|19.09|3.9120636|3.2403176|1.0311111||407|4.0|w
Albamar Ceibo Godello 2023|Ceibo Godello|2023|Valdeorras|Albamar|Godello|Godello|25.5|3.8405943|3.5|1.0181189||397|4.0|w
Ramón Bilbao Límite Norte Reserva Tempranillo Blanco - Maturana Blanca 2017|Límite Norte Reserva Tempranillo Blanco - Maturana Blanca|2017|Rioja|Ramón Bilbao|Rioja White|Viura|24.33|3.4277647|4.0368257|1.7801788||716|4.0|w
Casa Rojo El Gordo del Circo Verdejo 2021|El Gordo del Circo Verdejo|2021|Rueda|Casa Rojo|Verdejo|Verdejo|18.2|3.3142717|2.2162995|2.2784636||5610|3.8|w
Marina Alta Gran Selección Blanco 2022|Gran Selección Blanco|2022|Alicante|Marina Alta|White|Moscatel|4.95|3.0782454|2.6036057|1.9541827||10166|4.0|w
Can Sumoi Xarel-Lo 2022|Xarel-Lo|2022|Penedès|Can Sumoi|White|Xarel-lo|15.05|3.1889124|2.800292|1.6014855||3047|3.9|w
Bodegas Pedro Escudero Finca Valdelagunde Cuveé Especial 2022|Finca Valdelagunde Cuveé Especial|2022|Castilla y León|Bodegas Pedro Escudero|Verdejo|Verdejo|9.99|3.2835815|2.4811852|2.465351||3687|4.1|w
Laberinto de Cidonia Godello 2023|Godello|2023|Monterrei|Laberinto de Cidonia|Godello|Godello|10.6|4.0|2.7631578|1.0||375|4.0|w
Albamar O Sebal 2022|O Sebal|2022|Rías Baixas|Albamar|Albariño|Albariño|18.15|3.4111845|2.6164186|2.0005372||366|4.0|w
Caraballas Sauvignon Organic 2023|Sauvignon Organic|2023|Rueda|Caraballas|Sauvignon Blanc|Sauvignon Blanc|13.9|3.498626|2.891374|1.6932824||365|4.0|w
Alvar de Dios Vagüera El Maderal 2021|Vagüera El Maderal|2021|Toro|Alvar de Dios|White|Albillo Mayor|23.75|2.8979747|3.1216457|1.3570886||363|4.0|w
Domènech.Vidal Cultivare Xarel-lo 2020|Cultivare Xarel-lo|2020|Penedès|Domènech.Vidal|White|Xarel-lo|21.0|3.0|3.0|1.0||362|4.0|w
Grandes Pagos Gallegos Fraga do Corvo Godello 2019|Fraga do Corvo Godello|2019|Monterrei|Grandes Pagos Gallegos|Godello|Godello|25.41|3.3820002|3.1820002|1.6620002||2206|4.0|w
Pagos de Valcerracín Selección Limitada Verdejo 2022|Selección Limitada Verdejo|2022|Rueda|Pagos de Valcerracín|Verdejo|Verdejo|9.1|3.4073713|2.5880573|1.7966286||341|4.0|w
Cunqueiro Máis de Cunqueiro Godello 2022|Máis de Cunqueiro Godello|2022|Ribeiro|Cunqueiro|Godello|Godello|17.4|4.0|3.0|1.0||338|4.0|w
Bodegas Martín Códax Rías Baixas Albariño Lias 2020|Rías Baixas Albariño Lias|2020|Rías Baixas|Bodegas Martín Códax|Albariño|Albariño|22.0|3.7372458|1.914849|1.6291399||3726|3.9|w
Oliver Viticultors 10.000 Hores Blanc Floral 2023|10.000 Hores Blanc Floral|2023|Penedès|Oliver Viticultors|White|Sauvignon Blanc, Moscatel|7.1|2.9585366|2.9682927|1.190244||322|4.0|w
Bodegas Amaren Barrel Fermented White 2018|Barrel Fermented White|2018|Rioja|Bodegas Amaren|Rioja White|Viura|14.6|3.2855198|4.3350554|1.8120521||1954|4.0|w
Oxer Wines Marko Loretxoa 2021|Marko Loretxoa|2021|Bizkaiko Txakolina|Oxer Wines|Txakoli|Petit Manseng, Petit Courbu, Folle Blanche, Hondarrabi Zuri, Gros Manseng, Hondarrabi Beltza|24.0|4.822979|3.0612338|1.0963405||292|4.0|w
Vinyes dels Aspres Xot Dels Aspres Blanc 2023|Xot Dels Aspres Blanc|2023|Empordà|Vinyes dels Aspres|White|Garnacha Blanca, Sauvignon Blanc y Picapoll|12.79|2.987865|3.375281|1.1326966||287|4.0|w
Familia Torres Fransola 2016|Fransola|2016|Penedès|Familia Torres|Sauvignon Blanc|Sauvignon Blanc|24.9|3.9148898|3.0304458|1.3263305||3519|4.0|w
Itsasmendi 7 2019|7|2019|País Vasco|Itsasmendi|White|Hondarrabi zurie zerratie, Hondarrabi zuri, Riesling|15.8|3.5658402|3.230165|1.529201||2324|3.9|w
Huguet de Can Feixes Blanc Selecció 2020|Blanc Selecció|2020|Penedès|Huguet de Can Feixes|White|Parellada, Macabeo, Chardonnay, Malvasia, Xarel-lo|24.28|3.2898962|3.5001729|1.3522491||3025|3.9|w
Mas Doix Murmuri 2021|Murmuri|2021|Priorat|Mas Doix|Grenache Blanc|Grenache Blanc|25.55|3.3957694|3.1776156|2.154125||1175|4.0|w
Lagar de Cervera Pazo de Seoane Rosal 2021|Pazo de Seoane Rosal|2021|Rías Baixas|Lagar de Cervera|White|Albariño, Caiño Blanco, Loureira, Treixadura|11.9|3.6126542|3.2403553|1.6882228||2360|3.7|w
Ca N'Estella Gran Clot Dels Oms Xarel-lo 2021|Gran Clot Dels Oms Xarel-lo|2021|Penedès|Ca N'Estella|White|Xarel-lo|12.94|3.3714814|2.8803706|2.1522222||271|4.0|w
Foresta Xarel-lo 2021|Xarel-lo|2021|Catalunya|Foresta|White|Xarel-lo|22.61|3.0834482|3.2582757|1.0||263|4.0|w
Alegre Wines Mirlo Blanco 2023|Mirlo Blanco|2023|Rueda|Alegre Wines|Verdejo|Verdejo|14.5|3.01895|2.867533|2.4482415||263|4.0|w
Raimat Turons de la Pleta 2021|Turons de la Pleta|2021|Costers del Segre|Raimat|Chardonnay|Chardonnay|15.75|3.2162452|3.0820816|1.5691022||263|4.0|w
