vintage_name|wine_name|year|region|bodega|varietal_name|grape_names|price|acidity|fizziness|intensity|sweetness|tannin|ratings_count|ratings_average|wine_ratings_count|wine_ratings_average
Casal de Armán Finca Os Loureiros Edición Limitada 2021|Finca Os Loureiros Edición Limitada|2021|Ribeiro|Casal de Armán|White||27.95|2.7123199||3.06784|1.1449599||526|4.3|526|4.3
Bodegas Mas Alta La Solana Alta 2021|La Solana Alta|2021|Priorato|Bodegas Mas Alta|Grenache Blanc|Grenache Blanc|47.65|3.2316322||3.0889049|2.421384||515|4.3|515|4.3
Ossian Viñas Viejas Verdejo 2017|Viñas Viejas Verdejo|2017|Castilla y León|Ossian|Verdejo|Verdejo|42.0|3.255563||2.721581|2.4112735||501|4.3|10298|4.2
Abadía Retuerta LeDomaine Blanco de Guarda 2018|LeDomaine Blanco de Guarda|2018|Abadía Retuerta|Abadía Retuerta|White||39.4|3.1130536||3.3053613|1.6679021||417|4.3|3738|4.3
Atlántida Blanco 2022|Blanco|2022|Cádiz|Atlántida|White||27.08|3.1636364||3.0745456|1.1454545||388|4.3|389|4.3
Terras Mancas Blanco 2023|Blanco|2023|Vino de España|Terras Mancas|White||10.74|2.7259092||2.4089775|1.84625||380|4.3|380|4.3
Abadía Retuerta LeDomaine Blanco de Guarda 2021|LeDomaine Blanco de Guarda|2021|Abadía Retuerta|Abadía Retuerta|White||37.85|3.1130536||3.3053613|1.6679021||311|4.3|3738|4.3
Muga Flor de Muga Blanco 2019|Flor de Muga Blanco|2019|Rioja|Muga|Blanco de Rioja|Viura|30.5|3.2863216||4.227277|1.8819903||295|4.3|707|4.2
Bodega Sommos Coleccion Chardonnay 2022|Coleccion Chardonnay|2022|Somontano|Bodega Sommos|Chardonnay|Chardonnay|28.4|2.74253||3.255|1.4120481||289|4.3|289|4.3
Menade Sobrenatural de Menade Verdejo Natural 2018|Sobrenatural de Menade Verdejo Natural|2018|Castilla y León|Menade|Verdejo|Verdejo|49.49|3.0299263||3.246305|1.8848162||276|4.3|276|4.3
Mixtura Blanco 2020|Blanco|2020|Galicia|Mixtura|White||31.9|3.0996242||3.0|1.0318798||275|4.3|275|4.3
