vintage_name|wine_name|year|region|bodega|varietal_name|grape_varieties|price|acidity|intensity|sweetness|tannin|wine_ratings_count|wine_ratings_average|red/white
Cosmic Encarinyades 2021|Encarinyades|2021|Cataluña|Cosmic|Tinto|Grenache., Tempranillo|19.6|3.288768|2.9953525|1.8663381|2.6295497|619|4.0|white
Borsao Bodegas Tres Picos Garnacha 2021|Tres Picos Garnacha|2021|Campo de Borja|Borsao Bodegas|Grenache.|Grenache.|13.5|3.089929|4.81616|1.7929348|2.851984|40293|4.0|white
Prieto Pariente Vinedos de La Provincia 2019|Vinedos de La Provincia|2019|Castilla y León|Prieto Pariente|Tinto|Grenache., Tempranillo|12.9|3.1812057|3.5037153|1.9196397|3.1076155|1363|3.9|white
Bodegas Faustino I Gran Reserva 75 Aniversario 2011|I Gran Reserva 75 Aniversario|2011|Rioja|Bodegas Faustino|Tinto de Rioja|Tempranillo, Graciano, Garnacha|27.9|3.6565645|3.8772044|1.7714894|3.5261192|3200|4.0|white
Paxaro Tolo Tinto 2021|Tinto|2021|Ribeira Sacra|Paxaro Tolo|Mencía|Mencía|22.51|4.0|3.2066667|1.1303703|3.0325925|173|4.1|white
Losada El Pajaro Rojo Mencia 2022|El Pajaro Rojo Mencia|2022|Bierzo|Losada|Mencía|Mencía|8.25|3.8603337|3.4819453|1.5173908|2.8930497|3740|3.7|white
Clos Figueras Serras del Priorat 2022|Serras del Priorat|2022|Priorato|Clos Figueras|Tinto de Priorat|Shiraz/Syrah, Cabernet Sauvignon, Grenache., Carignan|20.35|3.464765|4.6795535|1.6484847|3.2309654|3497|3.8|white
Venus la Universal Dido Tinto 2022|Dido Tinto|2022|Montsant|Venus la Universal|Tinto de Montsant|Shiraz/Syrah, Cabernet Sauvignon, Cariñena, Garnacha|16.38|3.4952435|4.059283|1.6240034|3.26958|13734|3.9|white
Dominio do Bibei Ribeira Sacra Refugallo 2020|Ribeira Sacra Refugallo|2020|Ribeira Sacra|Dominio do Bibei|Mencía|Mencía|11.5|3.306987|3.1091833|2.1909344|2.7643838|1117|4.0|white
Dominio del Challao Angelita del Challao 2020|Angelita del Challao|2020|Rioja Alavesa|Dominio del Challao|Tinto de Rioja|Tempranillo, Graciano, Garnacha|28.9|3.8481395|3.426977|1.7160466|3.8809304|157|4.0|white
